,C,G,T,A,D,N,K,Y,R,M,S,W,H,V,B
>DQ079875.1,0.212860676,0.235449299,0.316240725,0.235449299,0,0,0,0,0,0,0,0,0,0,0
>DQ079876.1,0.212857379,0.236489836,0.316641877,0.234010907,0,0,0,0,0,0,0,0,0,0,0
>DQ079877.1,0.252979415,0.205669917,0.273203322,0.268147346,0,0,0,0,0,0,0,0,0,0,0
>DQ079878.1,0.214859767,0.236017714,0.316549123,0.232573397,0,0,0,0,0,0,0,0,0,0,0
>DQ079879.1,0.20897907,0.234542259,0.321457102,0.235021569,0,0,0,0,0,0,0,0,0,0,0
>DQ079880.1,0.211845525,0.233011511,0.31526179,0.239881173,0,0,0,0,0,0,0,0,0,0,0
>DQ079881.1,0.210731526,0.232825845,0.316004456,0.240438173,0,0,0,0,0,0,0,0,0,0,0
>DQ079882.1,0.213516524,0.233754177,0.312662458,0.24006684,0,0,0,0,0,0,0,0,0,0,0
>DQ079883.1,0.211474192,0.233197178,0.315447456,0.239881173,0,0,0,0,0,0,0,0,0,0,0
>DQ079884.1,0.21481619,0.233568511,0.30987746,0.241737839,0,0,0,0,0,0,0,0,0,0,0
>DQ079885.1,0.212402525,0.232454512,0.314333457,0.240809506,0,0,0,0,0,0,0,0,0,0,0
>DQ079886.1,0.214630524,0.234125511,0.30987746,0.241366506,0,0,0,0,0,0,0,0,0,0,0
>DQ079887.1,0.217044189,0.233754177,0.310248793,0.238952841,0,0,0,0,0,0,0,0,0,0,0
>DQ079888.1,0.212216859,0.232268845,0.31526179,0.240252506,0,0,0,0,0,0,0,0,0,0,0
>DQ079889.1,0.212402525,0.232640178,0.315076123,0.239881173,0,0,0,0,0,0,0,0,0,0,0
>DQ079890.1,0.212402525,0.233382844,0.313590791,0.24062384,0,0,0,0,0,0,0,0,0,0,0
>DQ079891.1,0.211845525,0.232083179,0.314890457,0.241180839,0,0,0,0,0,0,0,0,0,0,0
>DQ079892.1,0.211659859,0.232083179,0.314519124,0.241737839,0,0,0,0,0,0,0,0,0,0,0
>DQ079893.1,0.212588192,0.232825845,0.313405124,0.241180839,0,0,0,0,0,0,0,0,0,0,0
>DQ079894.1,0.213887857,0.233382844,0.313590791,0.239138507,0,0,0,0,0,0,0,0,0,0,0
>DQ079895.1,0.212919993,0.232596993,0.313346946,0.241136068,0,0,0,0,0,0,0,0,0,0,0
>DQ079896.1,0.262093863,0.198736462,0.266606498,0.272563177,0,0,0,0,0,0,0,0,0,0,0
>DQ079897.1,0.261913357,0.198375451,0.266787004,0.272924188,0,0,0,0,0,0,0,0,0,0,0
>DQ079898.1,0.263718412,0.199277978,0.26299639,0.27400722,0,0,0,0,0,0,0,0,0,0,0
>DQ079899.1,0.261251569,0.198314506,0.267527344,0.272906581,0,0,0,0,0,0,0,0,0,0,0
>DQ079900.1,0.261251569,0.201542048,0.264658419,0.272368657,0,0,0.000179308,0,0,0,0,0,0,0,0
>DQ079901.1,0.261789493,0.199031737,0.267348037,0.271830733,0,0,0,0,0,0,0,0,0,0,0
>DQ079902.1,0.258920567,0.199211045,0.269858347,0.272010041,0,0,0,0,0,0,0,0,0,0,0
>DQ079903.1,0.260713645,0.197238659,0.268244576,0.27380312,0,0,0,0,0,0,0,0,0,0,0
>DQ079904.1,0.265147405,0.199493579,0.261710978,0.273648038,0,0,0,0,0,0,0,0,0,0,0
>DQ079905.1,0.264604811,0.198589257,0.262253572,0.27455236,0,0,0,0,0,0,0,0,0,0,0
>DQ079906.1,0.264062217,0.197323205,0.264423946,0.274190631,0,0,0,0,0,0,0,0,0,0,0
>DQ079909.1,0.251184834,0.199598979,0.282537368,0.266678819,0,0,0,0,0,0,0,0,0,0,0
>NC_005886.2,0.279858225,0.264668031,0.23591215,0.219561594,0,0,0,0,0,0,0,0,0,0,0
>DQ113772.1,0.164039802,0.217057054,0.27439385,0.344509295,0,0,0,0,0,0,0,0,0,0,0
>AJ842011.2,0.12509719,0.180828613,0.308258358,0.385815839,0,0,0,0,0,0,0,0,0,0,0
>NC_007461.1,0.186975717,0.224724062,0.301324503,0.286975717,0,0,0,0,0,0,0,0,0,0,0
>NC_007458.1,0.1394787,0.212734545,0.277400478,0.370386278,0,0,0,0,0,0,0,0,0,0,0
>NC_007457.1,0.139532978,0.213109381,0.276908371,0.370312713,0,0,8.19E-05,2.73E-05,2.73E-05,0,0,0,0,0,0
>NC_007456.1,0.23191618,0.265842233,0.240001007,0.26224058,0,0,0,0,0,0,0,0,0,0,0
>NC_007497.1,0.325775816,0.289615659,0.196027287,0.188581238,0,0,0,0,0,0,0,0,0,0,0
>NC_007501.1,0.20737125,0.235424779,0.248258652,0.308945319,0,0,0,0,0,0,0,0,0,0,0
>NC_007581.1,0.130044215,0.132796217,0.36740574,0.369753828,0,0,0,0,0,0,0,0,0,0,0
>NC_007603.1,0.207879876,0.234946667,0.264609793,0.292563664,0,0,0,0,0,0,0,0,0,0,0
>NC_007623.1,0.23945269,0.2538172,0.249276803,0.257453306,0,0,0,0,0,0,0,0,0,0,0
>NC_007637.1,0.20063645,0.24989503,0.264215155,0.285253365,0,0,0,0,0,0,0,0,0,0,0
>DQ289556.1,0.139244909,0.212051481,0.278837664,0.369865946,0,0,0,0,0,0,0,0,0,0,0
>NC_007709.1,0.252369533,0.258376156,0.248966541,0.240264931,0,0,2.28E-05,0,0,0,0,0,0,0,0
>NC_007710.1,0.304054199,0.304761701,0.191647193,0.19947259,0,0,0,0,2.14E-05,0,4.29E-05,0,0,0,0
>NC_007734.1,0.141581227,0.211001542,0.28144958,0.365967651,0,0,0,0,0,0,0,0,0,0,0
>DQ386162.1,0.179135142,0.217062353,0.251989303,0.351813201,0,0,0,0,0,0,0,0,0,0,0
>NC_007814.1,0.139068837,0.210380787,0.280323379,0.370226997,0,0,0,0,0,0,0,0,0,0,0
>NC_007805.1,0.299982142,0.320850022,0.187071099,0.192096737,0,0,0,0,0,0,0,0,0,0,0
>NC_007806.1,0.264843368,0.270750483,0.225447103,0.238959046,0,0,0,0,0,0,0,0,0,0,0
>NC_007807.1,0.224005534,0.224927937,0.2838003,0.267266229,0,0,0,0,0,0,0,0,0,0,0
>NC_007808.1,0.215536171,0.232297186,0.271701686,0.280464957,0,0,0,0,0,0,0,0,0,0,0
>NC_007809.1,0.325303637,0.319331831,0.158294923,0.197069609,0,0,0,0,0,0,0,0,0,0,0
>NC_007810.1,0.275134439,0.274301295,0.226645459,0.223918806,0,0,0,0,0,0,0,0,0,0,0
>DQ394806.1,0.159381649,0.197705421,0.291508443,0.351404487,0,0,0,0,0,0,0,0,0,0,0
>DQ394807.1,0.160111255,0.197224251,0.292155981,0.350508513,0,0,0,0,0,0,0,0,0,0,0
>DQ394808.1,0.162091576,0.197793954,0.291148033,0.348966437,0,0,0,0,0,0,0,0,0,0,0
>DQ394809.1,0.160730149,0.197581454,0.292145457,0.349542941,0,0,0,0,0,0,0,0,0,0,0
>NC_007902.1,0.248226678,0.260036042,0.240654116,0.251083164,0,0,0,0,0,0,0,0,0,0,0
>NC_007856.1,0.251549398,0.200692672,0.283266497,0.264491433,0,0,0,0,0,0,0,0,0,0,0
>NC_007817.1,0.266678819,0.190849435,0.267407948,0.275063799,0,0,0,0,0,0,0,0,0,0,0
>NC_007821.1,0.211931444,0.236321688,0.317402769,0.2343441,0,0,0,0,0,0,0,0,0,0,0
>DQ426905.1,0.193959538,0.221849711,0.271878613,0.312312139,0,0,0,0,0,0,0,0,0,0,0
>DQ372923.1,0.380138242,0.331806043,0.132874273,0.155181442,0,0,0,0,0,0,0,0,0,0,0
>NC_007924.1,0.157038625,0.211930228,0.294254557,0.336776589,0,0,0,0,0,0,0,0,0,0,0
>NC_007917.1,0.104903891,0.182822316,0.299503047,0.412770745,0,0,0,0,0,0,0,0,0,0,0
>NC_005091.2,0.305386824,0.301000783,0.202924027,0.190688365,0,0,0,0,0,0,0,0,0,0,0
>NC_005083.2,0.204599851,0.221394904,0.273916204,0.30008904,0,0,0,0,0,0,0,0,0,0,0
>DQ530360.1,0.150492525,0.195364469,0.282836945,0.371306061,0,0,0,0,0,0,0,0,0,0,0
>DQ530362.1,0.148973118,0.198407002,0.286415522,0.366204358,0,0,0,0,0,0,0,0,0,0,0
>NC_008152.1,0.202253013,0.250219669,0.264255942,0.283271375,0,0,0,0,0,0,0,0,0,0,0
>NC_008201.1,0.19397538,0.221694424,0.272353367,0.311976828,0,0,0,0,0,0,0,0,0,0,0
>NC_008208.1,0.210788048,0.199609847,0.302269701,0.287332404,0,0,0,0,0,0,0,0,0,0,0
>NC_008193.1,0.190919521,0.230126209,0.254089494,0.324864776,0,0,0,0,0,0,0,0,0,0,0
>NC_008265.1,0.174104799,0.107187861,0.407145857,0.311561483,0,0,0,0,0,0,0,0,0,0,0
>NC_004166.2,0.187116564,0.250034083,0.229038855,0.333810498,0,0,0,0,0,0,0,0,0,0,0
>DQ453159.1,0.199079852,0.248782517,0.23728067,0.314856961,0,0,0,0,0,0,0,0,0,0,0
>DQ838728.1,0.153839288,0.201023414,0.28152798,0.363609318,0,0,0,0,0,0,0,0,0,0,0
>DQ832317.1,0.224267291,0.211342037,0.29062611,0.273764562,0,0,0,0,0,0,0,0,0,0,0
>AM265639.1,0.296035391,0.312985358,0.183131777,0.207847474,0,0,0,0,0,0,0,0,0,0,0
>NC_008363.1,0.170053963,0.176746794,0.330261406,0.322937837,0,0,0,0,0,0,0,0,0,0,0
>NC_008364.1,0.170855786,0.20013566,0.277687757,0.351320797,0,0,0,0,0,0,0,0,0,0,0
>NC_008370.1,0.166109472,0.172730252,0.332382825,0.32877745,0,0,0,0,0,0,0,0,0,0,0
>NC_008371.1,0.169380396,0.180053182,0.326558118,0.324008305,0,0,0,0,0,0,0,0,0,0,0
>NC_008464.1,0.225073874,0.265596467,0.248431223,0.260898436,0,0,0,0,0,0,0,0,0,0,0
>NC_008562.1,0.232337501,0.227192815,0.26429131,0.276178374,0,0,0,0,0,0,0,0,0,0,0
>NC_007145.2,0.31775552,0.330428545,0.188315311,0.163500624,0,0,0,0,0,0,0,0,0,0,0
>NC_008575.1,0.282948064,0.343140198,0.184178925,0.189732813,0,0,0,0,0,0,0,0,0,0,0
>NC_008583.1,0.148140419,0.193424226,0.284061399,0.374373957,0,0,0,0,0,0,0,0,0,0,0
>NC_008689.1,0.144726576,0.189959204,0.29235125,0.372962971,0,0,0,0,0,0,0,0,0,0,0
>NC_008694.1,0.21872731,0.253163572,0.256301214,0.271781973,0,0,0,2.59E-05,0,0,0,0,0,0,0
>EF136587.1,0.145339652,0.190521327,0.281516588,0.382622433,0,0,0,0,0,0,0,0,0,0,0
>NC_008720.1,0.206391744,0.206648326,0.289666871,0.297293059,0,0,0,0,0,0,0,0,0,0,0
>NC_008717.1,0.329781683,0.312865577,0.16441027,0.192942469,0,0,0,0,0,0,0,0,0,0,0
>NC_008722.1,0.150967296,0.195785352,0.282911101,0.370336251,0,0,0,0,0,0,0,0,0,0,0
>NC_008723.1,0.152993801,0.196090007,0.280624872,0.370291319,0,0,0,0,0,0,0,0,0,0,0
>NC_008798.1,0.147324627,0.195469779,0.28357795,0.373627644,0,0,0,0,0,0,0,0,0,0,0
>NC_008799.1,0.15059378,0.198396562,0.283882445,0.367127212,0,0,0,0,0,0,0,0,0,0,0
>DQ340064.2,0.194360349,0.249430557,0.259435458,0.296773635,0,0,0,0,0,0,0,0,0,0,0
>EF071488.1,0.210133716,0.261465355,0.263841308,0.26455962,0,0,0,0,0,0,0,0,0,0,0
>NC_009014.1,0.230388382,0.267994279,0.240598526,0.261018814,0,0,0,0,0,0,0,0,0,0,0
>NC_009016.1,0.274969238,0.294551928,0.210670995,0.219807838,0,0,0,0,0,0,0,0,0,0,0
>NC_009015.1,0.279099634,0.279831527,0.217841607,0.223227232,0,0,0,0,0,0,0,0,0,0,0
>NC_009018.1,0.165983181,0.208835133,0.28291113,0.342270556,0,0,0,0,0,0,0,0,0,0,0
>CP000623.1,0.322878487,0.331412104,0.183990375,0.161719034,0,0,0,0,0,0,0,0,0,0,0
>CP000624.1,0.330907604,0.315263014,0.188934315,0.164895067,0,0,0,0,0,0,0,0,0,0,0
>CP000622.1,0.312022646,0.318485285,0.179725471,0.189766597,0,0,0,0,0,0,0,0,0,0,0
>NC_009231.1,0.107732852,0.179525275,0.307616117,0.405125756,0,0,0,0,0,0,0,0,0,0,0
>NC_009236.1,0.330907604,0.315263014,0.188934315,0.164895067,0,0,0,0,0,0,0,0,0,0,0
>NC_009234.1,0.322878487,0.331412104,0.183990375,0.161719034,0,0,0,0,0,0,0,0,0,0,0
>NC_009237.1,0.312022646,0.318485285,0.179725471,0.189766597,0,0,0,0,0,0,0,0,0,0,0
>EF432053.1,0.16792643,0.17771059,0.339212228,0.315066767,0,0,0,8.40E-05,0,0,0,0,0,0,0
>EF372997.1,0.298697364,0.251006189,0.215540745,0.234755702,0,0,0,0,0,0,0,0,0,0,0
>NC_009382.1,0.329463364,0.324019608,0.166873065,0.179643963,0,0,0,0,0,0,0,0,0,0,0
>EF537008.1,0.231658535,0.233138338,0.274989017,0.260214109,0,0,0,0,0,0,0,0,0,0,0
>NC_009447.1,0.279829816,0.283111382,0.217270195,0.219788606,0,0,0,0,0,0,0,0,0,0,0
>AB285204.1,0.221581846,0.269581676,0.250781566,0.258054912,0,0,0,0,0,0,0,0,0,0,0
>EF536069.1,0.295355415,0.322037075,0.185493764,0.197113746,0,0,0,0,0,0,0,0,0,0,0
>CP000711.1,0.241176909,0.227423086,0.27490238,0.256497625,0,0,0,0,0,0,0,0,0,0,0
>NC_009514.1,0.221581846,0.269581676,0.250781566,0.258054912,0,0,0,0,0,0,0,0,0,0,0
>NC_009526.1,0.148800839,0.192230531,0.288596571,0.370372059,0,0,0,0,0,0,0,0,0,0,0
>NC_009541.1,0.198628064,0.341605299,0.29779078,0.161975857,0,0,0,0,0,0,0,0,0,0,0
>NC_009543.1,0.256895777,0.26212938,0.244743935,0.236230907,0,0,0,0,0,0,0,0,0,0,0
>CP000625.2,0.279923573,0.324567531,0.195669146,0.19983975,0,0,0,0,0,0,0,0,0,0,0
>NC_009540.1,0.194781772,0.232014749,0.27217346,0.301030019,0,0,0,0,0,0,0,0,0,0,0
>NC_009235.2,0.279923573,0.324567531,0.195669146,0.19983975,0,0,0,0,0,0,0,0,0,0,0
>NC_009554.1,0.224905508,0.25326755,0.221731729,0.300095213,0,0,0,0,0,0,0,0,0,0,0
>EF579802.1,0.334088213,0.3490564,0.156971854,0.159883533,0,0,0,0,0,0,0,0,0,0,0
>NC_009604.1,0.316217129,0.32018488,0.183508505,0.180089485,0,0,0,0,0,0,0,0,0,0,0
>DQ123818.2,0.232135577,0.262885097,0.247568575,0.257410751,0,0,0,0,0,0,0,0,0,0,0
>NC_007804.2,0.228697831,0.26102189,0.246854542,0.263425736,0,0,0,0,0,0,0,0,0,0,0
>NC_005131.2,0.2493678,0.320174206,0.243888733,0.186569261,0,0,0,0,0,0,0,0,0,0,0
>NC_009760.1,0.212278715,0.205674407,0.291699399,0.29034748,0,0,0,0,0,0,0,0,0,0,0
>NC_009803.1,0.283191411,0.294426432,0.197598603,0.224783554,0,0,0,0,0,0,0,0,0,0,0
>NC_009804.1,0.282900659,0.294686686,0.197433959,0.224978696,0,0,0,0,0,0,0,0,0,0,0
>EU030938.1,0.193591014,0.19114635,0.31390816,0.301354476,0,0,0,0,0,0,0,0,0,0,0
>EU030939.1,0.192824527,0.191976517,0.313111546,0.30208741,0,0,0,0,0,0,0,0,0,0,0
>NC_009816.1,0.246107199,0.263081086,0.235296618,0.255515097,0,0,0,0,0,0,0,0,0,0,0
>NC_009817.1,0.161841175,0.189266963,0.289680937,0.359210925,0,0,0,0,0,0,0,0,0,0,0
>NC_009819.1,0.176422704,0.220084363,0.277831224,0.325661708,0,0,0,0,0,0,0,0,0,0,0
>NC_009821.1,0.214330066,0.190661715,0.306696293,0.288311925,0,0,0,0,0,0,0,0,0,0,0
>NC_009810.1,0.156713922,0.210126843,0.27594103,0.357218206,0,0,0,0,0,0,0,0,0,0,0
>NC_009812.1,0.146648536,0.204346705,0.286966919,0.36203784,0,0,0,0,0,0,0,0,0,0,0
>NC_009813.1,0.153803039,0.208316034,0.276280827,0.3616001,0,0,0,0,0,0,0,0,0,0,0
>NC_009814.1,0.188878343,0.219306571,0.261347775,0.330467311,0,0,0,0,0,0,0,0,0,0,0
>NC_009815.1,0.152607282,0.202365964,0.286381282,0.358645473,0,0,0,0,0,0,0,0,0,0,0
>NC_009875.1,0.155591482,0.133849928,0.372393801,0.33816479,0,0,0,0,0,0,0,0,0,0,0
>NC_009877.1,0.327885797,0.309105447,0.182245451,0.180763305,0,0,0,0,0,0,0,0,0,0,0
>NC_009878.1,0.322909091,0.309550239,0.185110048,0.182430622,0,0,0,0,0,0,0,0,0,0,0
>EU124666.1,0.217457723,0.191434621,0.309275588,0.281832069,0,0,0,0,0,0,0,0,0,0,0
>NC_009818.1,0.330055755,0.311845972,0.165288802,0.19280947,0,0,0,0,0,0,0,0,0,0,0
>NC_009904.1,0.162537305,0.194837829,0.292950053,0.349674813,0,0,0,0,0,0,0,0,0,0,0
>NC_009935.1,0.312476852,0.310694444,0.168287037,0.208541667,0,0,0,0,0,0,0,0,0,0,0
>NC_009936.1,0.296035391,0.312985358,0.183131777,0.207847474,0,0,0,0,0,0,0,0,0,0,0
>NC_009542.2,0.317963808,0.299485067,0.172605561,0.209945564,0,0,0,0,0,0,0,0,0,0,0
>NC_001421.2,0.223688618,0.257318952,0.254438266,0.264554164,0,0,0,0,0,0,0,0,0,0,0
>NC_009987.1,0.078907243,0.143202033,0.405336722,0.372554003,0,0,0,0,0,0,0,0,0,0,0
>NC_010106.1,0.210193487,0.230033034,0.274072676,0.285700802,0,0,0,0,0,0,0,0,0,0,0
>NC_010105.1,0.203614762,0.191510823,0.306427872,0.298446544,0,0,0,0,0,0,0,0,0,0,0
>NC_010116.1,0.324003205,0.318616504,0.160220241,0.19716005,0,0,0,0,0,0,0,0,0,0,0
>NC_010147.1,0.156122852,0.200181349,0.277068657,0.366627142,0,0,0,0,0,0,0,0,0,0,0
>NC_010324.1,0.216752198,0.205985507,0.290442788,0.286819506,0,0,0,0,0,0,0,0,0,0,0
>NC_010325.1,0.257928767,0.264547945,0.234805479,0.242717808,0,0,0,0,0,0,0,0,0,0,0
>NC_010326.1,0.311862772,0.310921282,0.170019289,0.207196657,0,0,0,0,0,0,0,0,0,0,0
>NC_010353.1,0.179332077,0.218524041,0.265734462,0.33640942,0,0,0,0,0,0,0,0,0,0,0
>NC_010355.1,0.31531835,0.323996984,0.177984183,0.182700483,0,0,0,0,0,0,0,0,0,0,0
>NC_010363.1,0.164268202,0.172316384,0.334132822,0.329282592,0,0,0,0,0,0,0,0,0,0,0
>NC_010391.1,0.242422115,0.273131568,0.235774641,0.248671676,0,0,0,0,0,0,0,0,0,0,0
>NC_010392.1,0.272029861,0.238951558,0.251118764,0.237899816,0,0,0,0,0,0,0,0,0,0,0
>NC_010393.1,0.235994764,0.27495637,0.236736475,0.252312391,0,0,0,0,0,0,0,0,0,0,0
>AB362338.2,0.231661066,0.238454153,0.25424868,0.275636102,0,0,0,0,0,0,0,0,0,0,0
>NC_010179.2,0.152099998,0.211907732,0.294537805,0.341454465,0,0,0,0,0,0,0,0,0,0,0
>NC_010463.1,0.278010269,0.246876206,0.242305523,0.232808002,0,0,0,0,0,0,0,0,0,0,0
>AM491472.1,0.229784023,0.231471,0.266253801,0.272491177,0,0,0,0,0,0,0,0,0,0,0
>NC_010495.1,0.229784023,0.231471,0.266253801,0.272491177,0,0,0,0,0,0,0,0,0,0,0
>EU545650.1,0.179903818,0.166545225,0.335519285,0.318007384,0,0,0,2.43E-05,0,0,0,0,0,0,0
>NC_010237.1,0.228125246,0.266913794,0.247227699,0.25773326,0,0,0,0,0,0,0,0,0,0,0
>NC_001417.2,0.261417764,0.259736621,0.244886523,0.233959092,0,0,0,0,0,0,0,0,0,0,0
>NC_001420.2,0.25945849,0.197417967,0.270754886,0.272368657,0,0,0,0,0,0,0,0,0,0,0
>NC_010576.1,0.149810242,0.187078439,0.30310988,0.359983452,0,0,0,0,0,0,0,1.80E-05,0,0,0
>NC_010583.1,0.203767216,0.19523801,0.30637805,0.294616724,0,0,0,0,0,0,0,0,0,0,0
>NC_010762.1,0.333643588,0.331949118,0.146750674,0.187656619,0,0,0,0,0,0,0,0,0,0,0
>NC_010763.1,0.2905706,0.306722884,0.176667545,0.22603897,0,0,0,0,0,0,0,0,0,0,0
>NC_010808.1,0.149068603,0.19419512,0.287808398,0.368927879,0,0,0,0,0,0,0,0,0,0,0
>NC_010807.1,0.238387221,0.270256344,0.23168878,0.259667654,0,0,0,0,0,0,0,0,0,0,0
>NC_010821.1,0.222367482,0.231076754,0.269384288,0.277171476,0,0,0,0,0,0,0,0,0,0,0
>NC_010945.1,0.179195626,0.225878986,0.267963001,0.326962388,0,0,0,0,0,0,0,0,0,0,0
>DQ840344.2,0.197090287,0.251404935,0.251946941,0.299557838,0,0,0,0,0,0,0,0,0,0,0
>NC_011022.1,0.32420914,0.309660797,0.18304566,0.183084404,0,0,0,0,0,0,0,0,0,0,0
>NC_011020.1,0.325145189,0.311980066,0.180368074,0.182506671,0,0,0,0,0,0,0,0,0,0,0
>NC_011019.1,0.326084522,0.309639364,0.181419398,0.182856716,0,0,0,0,0,0,0,0,0,0,0
>NC_011021.1,0.324682389,0.309569136,0.183573565,0.18217491,0,0,0,0,0,0,0,0,0,0,0
>NC_011023.1,0.323565,0.309063753,0.186190728,0.181180519,0,0,0,0,0,0,0,0,0,0,0
>EU734173.1,0.254000631,0.278477939,0.217940312,0.249581118,0,0,0,0,0,0,0,0,0,0,0
>EU078592.1,0.24426325,0.274571928,0.236389051,0.244775772,0,0,0,0,0,0,0,0,0,0,0
>NC_011046.1,0.171540693,0.175703805,0.328510493,0.324245009,0,0,0,0,0,0,0,0,0,0,0
>NC_011040.1,0.227898332,0.259870404,0.247513562,0.264717701,0,0,0,0,0,0,0,0,0,0,0
>NC_011042.1,0.233847957,0.265591562,0.236064404,0.264496077,0,0,0,0,0,0,0,0,0,0,0
>NC_011045.1,0.225766587,0.258129296,0.246234649,0.269869468,0,0,0,0,0,0,0,0,0,0,0
>NC_011038.1,0.218657083,0.254001086,0.256405616,0.270936215,0,0,0,0,0,0,0,0,0,0,0
>NC_011044.1,0.337062257,0.346360723,0.155856603,0.160720417,0,0,0,0,0,0,0,0,0,0,0
>NC_011039.1,0.269191271,0.293667095,0.197161603,0.239980031,0,0,0,0,0,0,0,0,0,0,0
>NC_011041.1,0.224267291,0.211342037,0.29062611,0.273764562,0,0,0,0,0,0,0,0,0,0,0
>NC_011048.1,0.197126854,0.202779795,0.299346541,0.30074681,0,0,0,0,0,0,0,0,0,0,0
>NC_011054.1,0.293709186,0.317573272,0.189827179,0.198890363,0,0,0,0,0,0,0,0,0,0,0
>NC_011056.1,0.331521811,0.297648099,0.170608487,0.200221604,0,0,0,0,0,0,0,0,0,0,0
>NC_011057.1,0.337039213,0.338625349,0.161227787,0.163107652,0,0,0,0,0,0,0,0,0,0,0
>NC_011055.1,0.332582032,0.295825034,0.169829123,0.201763812,0,0,0,0,0,0,0,0,0,0,0
>NC_011105.1,0.312566932,0.310751036,0.17001909,0.206639661,0,0,0,0,0,0,0,2.33E-05,0,0,0
>NC_011107.1,0.310933172,0.310886618,0.170829357,0.207350853,0,0,0,0,0,0,0,0,0,0,0
>NC_011104.1,0.212133337,0.242766761,0.243191878,0.301908025,0,0,0,0,0,0,0,0,0,0,0
>EU876853.1,0.222978526,0.23806714,0.265251933,0.2737024,0,0,0,0,0,0,0,0,0,0,0
>NC_011165.1,0.277725177,0.276964627,0.223400127,0.221910069,0,0,0,0,0,0,0,0,0,0,0
>NC_011166.1,0.279047046,0.277123102,0.223147452,0.220682399,0,0,0,0,0,0,0,0,0,0,0
>NC_011167.1,0.156052275,0.208176409,0.286550919,0.349182736,0,3.77E-05,0,0,0,0,0,0,0,0,0
>NC_009811.2,0.161576526,0.197712525,0.284931586,0.355779362,0,0,0,0,0,0,0,0,0,0,0
>NC_011201.1,0.296362497,0.32101488,0.168806147,0.213816477,0,0,0,0,0,0,0,0,0,0,0
>NC_011216.1,0.312501661,0.316195031,0.180948585,0.190354723,0,0,0,0,0,0,0,0,0,0,0
>EU719189.1,0.109660318,0.183604948,0.305674455,0.401060279,0,0,0,0,0,0,0,0,0,0,0
>NC_011222.1,0.161610541,0.224665583,0.275011685,0.33871219,0,0,0,0,0,0,0,0,0,0,0
>NC_011273.1,0.334582812,0.319777402,0.148922856,0.196716929,0,0,0,0,0,0,0,0,0,0,0
>NC_011272.1,0.333066916,0.314359234,0.158160812,0.194413038,0,0,0,0,0,0,0,0,0,0,0
>NC_011270.1,0.333098782,0.31466825,0.157611713,0.194621254,0,0,0,0,0,0,0,0,0,0,0
>NC_011267.1,0.32909653,0.309333764,0.179016711,0.182552994,0,0,0,0,0,0,0,0,0,0,0
>NC_011271.1,0.332769096,0.314432459,0.158258888,0.194539557,0,0,0,0,0,0,0,0,0,0,0
>EU855793.1,0.175206241,0.217380324,0.268786127,0.338627308,0,0,0,0,0,0,0,0,0,0,0
>NC_011291.1,0.340820707,0.326901417,0.148755764,0.183522111,0,0,0,0,0,0,0,0,0,0,0
>NC_011286.1,0.290418512,0.306325702,0.177039125,0.22621666,0,0,0,0,0,0,0,0,0,0,0
>NC_011290.1,0.289567485,0.305970034,0.177588841,0.22687364,0,0,0,0,0,0,0,0,0,0,0
>NC_011285.1,0.290429911,0.305688817,0.177380916,0.226500356,0,0,0,0,0,0,0,0,0,0,0
>NC_011288.1,0.295787655,0.321937371,0.186947376,0.195327598,0,0,0,0,0,0,0,0,0,0,0
>NC_011292.1,0.277279847,0.296090034,0.189871215,0.236758905,0,0,0,0,0,0,0,0,0,0,0
>NC_011287.1,0.293933805,0.318697271,0.186272501,0.201096424,0,0,0,0,0,0,0,0,0,0,0
>NC_011289.1,0.292533033,0.319659258,0.189542149,0.19826556,0,0,0,0,0,0,0,0,0,0,0
>NC_011284.1,0.328298028,0.336683711,0.167202337,0.167815924,0,0,0,0,0,0,0,0,0,0,0
>NC_011318.1,0.111243001,0.192965706,0.292803138,0.402988156,0,0,0,0,0,0,0,0,0,0,0
>NC_011344.1,0.137066453,0.19333784,0.292446453,0.377128131,0,2.11E-05,0,0,0,0,0,0,0,0,0
>FM180578.1,0.235536613,0.274996506,0.238104388,0.251362493,0,0,0,0,0,0,0,0,0,0,0
>NC_011356.1,0.233532498,0.277615855,0.24019965,0.24848805,0,0.00014573,0,1.82E-05,0,0,0,0,0,0,0
>NC_011357.1,0.234508504,0.274639162,0.238466861,0.252369382,0,0,0,1.61E-05,0,0,0,0,0,0,0
>NC_011373.1,0.274833589,0.287805086,0.220472777,0.216888548,0,0,0,0,0,0,0,0,0,0,0
>NC_011399.1,0.260163512,0.336319857,0.229476985,0.174039646,0,0,0,0,0,0,0,0,0,0,0
>NC_011421.1,0.172990751,0.226656206,0.271593669,0.328759373,0,0,0,0,0,0,0,0,0,0,0
>NC_011523.1,0.163425476,0.22308654,0.267953882,0.345534102,0,0,0,0,0,0,0,0,0,0,0
>NC_011551.1,0.201921389,0.227180375,0.281987609,0.288910628,0,0,0,0,0,0,0,0,0,0,0
>NC_011589.1,0.302132201,0.334773004,0.18080274,0.182292055,0,0,0,0,0,0,0,0,0,0,0
>NC_011612.1,0.137173606,0.195284933,0.293644143,0.373897318,0,0,0,0,0,0,0,0,0,0,0
>NC_011614.1,0.15280064,0.196326953,0.282391948,0.368480459,0,0,0,0,0,0,0,0,0,0,0
